设备ID,设备类型,时间戳,温度(℃),压力(MPa),振动(m/s²),流量(m³/h),产量(件),合格率(%),故障标记,故障类型
EQ001,风机,2026-02-22 16:26:42,63.48,5.92,1.194,118.28,788.29,97.77,0,无
EQ001,风机,2026-02-22 17:26:42,71.05,6.46,0.859,106.51,776.83,97.53,0,无
EQ001,风机,2026-02-22 18:26:42,61.69,4.85,0.483,93.25,749.36,98.31,0,无
EQ001,风机,2026-02-22 19:26:42,53.64,5.15,1.44,97.29,803.38,96.58,0,无
EQ001,风机,2026-02-22 20:26:42,56.19,6.07,0.655,104.51,769.97,97.71,0,无
EQ001,风机,2026-02-22 21:26:42,55.79,7.11,0.996,87.31,841.13,96.78,0,无
EQ001,风机,2026-02-22 22:26:42,61.46,4.82,0.602,102.36,836.92,98.17,0,无
EQ001,风机,2026-02-22 23:26:42,59.19,5.82,0.556,91.36,776.97,99.06,0,无
EQ001,风机,2026-02-23 00:26:42,62.41,4.94,1.097,95.38,766.15,98.61,0,无
EQ001,风机,2026-02-23 01:26:42,67.22,6.56,0.748,96.29,816.56,98.98,0,无
EQ001,风机,2026-02-23 02:26:42,56.65,5.89,0.668,85.65,840.63,99.36,0,无
EQ001,风机,2026-02-23 03:26:42,59.5,6.6,1.108,92.26,818.07,99.54,0,无
EQ001,风机,2026-02-23 04:26:42,59.75,6.94,,109.86,804.35,97.7,0,无
EQ001,风机,2026-02-23 05:26:42,60.64,2.4,0.934,104.29,873.89,97.48,0,无
EQ001,风机,2026-02-23 06:26:42,54.34,5.7,1.275,103.95,773.51,98.51,0,无
EQ001,风机,2026-02-23 07:26:42,60.68,6.58,0.789,96.07,780.39,96.54,0,无
EQ001,风机,2026-02-23 08:26:42,62.07,6.16,1.002,97.18,729.23,97.58,0,无
EQ001,风机,2026-02-23 09:26:42,57.6,5.52,0.952,104.85,894.31,98.17,0,无
EQ001,风机,2026-02-23 10:26:42,61.8,5.96,0.424,99.68,803.01,100.46,0,无
EQ001,风机,2026-02-23 11:26:42,58.65,6.18,0.99,85.98,857.14,98.75,0,无
EQ001,风机,2026-02-23 12:26:42,65.54,5.45,1.421,83.18,829.34,100.19,0,无
EQ001,风机,2026-02-23 13:26:42,53.07,5.66,1.03,93.96,722.47,98.07,0,无
EQ001,风机,2026-02-23 14:26:42,52.56,6.28,0.724,118.6,760.84,97.68,0,无
EQ001,风机,2026-02-23 15:26:42,65.69,5.26,1.068,115.69,719.63,98.18,0,无
EQ001,风机,2026-02-23 16:26:42,61.82,6.47,0.629,84.15,826.1,98.3,0,无
EQ001,风机,2026-02-23 17:26:42,61.75,6.21,0.796,102.79,814.65,97.29,0,无
EQ001,风机,2026-02-23 18:26:42,73.06,6.28,0.643,107.88,751.27,98.79,0,无
EQ001,风机,2026-02-23 19:26:42,68.11,5.51,1.289,104.95,841.1,99.9,0,无
EQ001,风机,2026-02-23 20:26:42,58.28,5.55,0.733,90.21,796.14,98.34,0,无
EQ001,风机,2026-02-23 21:26:42,61.94,6.5,1.004,117.44,786.77,100.72,0,无
EQ001,风机,2026-02-23 22:26:42,64.38,5.49,0.679,105.79,788.83,98.71,0,无
EQ001,风机,2026-02-23 23:26:42,63.31,5.96,0.746,81.82,777.67,98.86,0,无
EQ001,风机,2026-02-24 00:26:42,61.5,5.25,1.052,104.62,755.81,98.15,0,无
EQ001,风机,2026-02-24 01:26:42,60.41,5.31,1.107,106.73,854.15,99.05,0,无
EQ001,风机,2026-02-24 02:26:42,50.36,5.44,1.155,106.17,825.75,101.85,0,无
EQ001,风机,2026-02-24 03:26:42,64.0,6.68,1.286,107.82,784.24,98.76,0,无
EQ001,风机,2026-02-24 04:26:42,54.59,5.86,0.854,100.98,915.73,96.13,0,无
EQ001,风机,2026-02-24 05:26:42,64.8,5.03,0.858,113.07,803.21,96.92,0,无
EQ001,风机,2026-02-24 06:26:42,54.99,6.41,0.781,102.6,802.28,97.35,0,无
EQ001,风机,2026-02-24 07:26:42,75.01,6.38,0.392,102.24,766.91,98.85,0,无
EQ001,风机,2026-02-24 08:26:42,54.45,5.93,1.151,110.39,739.99,97.67,0,无
EQ001,风机,2026-02-24 09:26:42,56.68,5.61,1.53,104.86,736.96,98.92,0,无
EQ001,风机,2026-02-24 10:26:42,74.86,6.62,0.544,94.19,863.35,97.29,0,无
EQ001,风机,2026-02-24 11:26:42,63.11,6.46,0.722,99.29,637.94,96.98,0,无
EQ001,风机,2026-02-24 12:26:42,58.23,5.25,1.49,82.84,778.0,98.13,0,无
